Category,Size,Installs,Price,Content Rating,year
ART_AND_DESIGN,19000.0,10000,0.0,Everyone,2018
ART_AND_DESIGN,14000.0,500000,0.0,Everyone,2018
ART_AND_DESIGN,8700.0,5000000,0.0,Everyone,2018
ART_AND_DESIGN,25000.0,50000000,0.0,Teen,2018
ART_AND_DESIGN,2800.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,5600.0,50000,0.0,Everyone,2017
ART_AND_DESIGN,19000.0,50000,0.0,Everyone,2018
ART_AND_DESIGN,29000.0,1000000,0.0,Everyone,2018
ART_AND_DESIGN,33000.0,1000000,0.0,Everyone,2017
ART_AND_DESIGN,3100.0,10000,0.0,Everyone,2018
ART_AND_DESIGN,28000.0,1000000,0.0,Everyone,2017
ART_AND_DESIGN,12000.0,1000000,0.0,Everyone,2018
ART_AND_DESIGN,20000.0,10000000,0.0,Teen,2018
ART_AND_DESIGN,21000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,37000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,2700.0,5000,0.0,Everyone,2018
ART_AND_DESIGN,5500.0,500000,0.0,Everyone,2018
ART_AND_DESIGN,17000.0,10000,0.0,Everyone,2017
ART_AND_DESIGN,39000.0,5000000,0.0,Everyone,2018
ART_AND_DESIGN,31000.0,10000000,0.0,Everyone,2018
ART_AND_DESIGN,14000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,12000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,4200.0,500000,0.0,Everyone 10+,2018
ART_AND_DESIGN,7000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,23000.0,50000,0.0,Everyone,2018
ART_AND_DESIGN,6000.0,10000,0.0,Everyone,2018
ART_AND_DESIGN,25000.0,500000,0.0,Everyone,2017
ART_AND_DESIGN,6100.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,4600.0,10000,0.0,Everyone,2018
ART_AND_DESIGN,4200.0,100000,0.0,Everyone,2017
ART_AND_DESIGN,9200.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,5200.0,50000,0.0,Everyone,2018
ART_AND_DESIGN,11000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,11000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,4200.0,10000,0.0,Teen,2018
ART_AND_DESIGN,9200.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,24000.0,500000,0.0,Everyone,2018
ART_AND_DESIGN,22270.54027,5000000,0.0,Everyone,2018
ART_AND_DESIGN,11000.0,10000,0.0,Everyone,2017
ART_AND_DESIGN,9400.0,500000,0.0,Everyone,2018
ART_AND_DESIGN,15000.0,10000,0.0,Everyone,2018
ART_AND_DESIGN,10000.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,22270.54027,10000000,0.0,Everyone,2018
ART_AND_DESIGN,1200.0,100000,0.0,Everyone,2018
ART_AND_DESIGN,12000.0,10000,0.0,Everyone,2018
ART_AND_DESIGN,24000.0,10000000,0.0,Everyone,2018
ART_AND_DESIGN,26000.0,100000,0.0,Everyone,2017
ART_AND_DESIGN,8000.0,100000,0.0,Everyone,2017
ART_AND_DESIGN,7900.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,25000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,56000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,57000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,35000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,33000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,33000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,5600.0,50000,0.0,Everyone,2018
AUTO_AND_VEHICLES,54000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,100000,0.0,Everyone,2014
AUTO_AND_VEHICLES,3600.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,5700.0,10000,0.0,Everyone,2018
AUTO_AND_VEHICLES,17000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,8600.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,2400.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,27000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,2700.0,10000,0.0,Everyone,2018
AUTO_AND_VEHICLES,2500.0,50000,0.0,Everyone,2016
AUTO_AND_VEHICLES,22270.54027,5000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,7000.0,5000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,35000.0,5000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,16000.0,500000,0.0,Everyone,2018
AUTO_AND_VEHICLES,16000.0,10000000,0.0,Teen,2018
AUTO_AND_VEHICLES,22270.54027,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,17000.0,500000,0.0,Everyone,2018
AUTO_AND_VEHICLES,3400.0,50000,0.0,Everyone,2018
AUTO_AND_VEHICLES,8900.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,3900.0,1000000,0.0,Everyone 10+,2018
AUTO_AND_VEHICLES,2900.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,38000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,32000.0,50000,0.0,Everyone,2018
AUTO_AND_VEHICLES,37000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,15000.0,500000,0.0,Everyone,2018
AUTO_AND_VEHICLES,5400.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,18000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,38000.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,1100.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,7900.0,100000,0.0,Everyone,2018
AUTO_AND_VEHICLES,35000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,22270.54027,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,17000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,19000.0,1000000,0.0,Everyone,2018
AUTO_AND_VEHICLES,14000.0,500000,0.0,Everyone,2018
AUTO_AND_VEHICLES,2200.0,500000,0.0,Everyone,2018
AUTO_AND_VEHICLES,4500.0,100000,0.0,Everyone,2018
BEAUTY,17000.0,500000,0.0,Everyone,2018
BEAUTY,14000.0,1000000,0.0,Everyone,2017
BEAUTY,9800.0,100000,0.0,Everyone,2018
BEAUTY,21000.0,500000,0.0,Everyone,2018
BEAUTY,22270.54027,1000000,0.0,Everyone,2016
BEAUTY,52000.0,500000,0.0,Everyone,2018
BEAUTY,14000.0,100000,0.0,Everyone,2018
BEAUTY,25000.0,1000000,0.0,Everyone,2018
BEAUTY,9000.0,50000,0.0,Everyone,2018
BEAUTY,22270.54027,1000000,0.0,Everyone,2018
BEAUTY,12000.0,10000,0.0,Everyone,2018
BEAUTY,22270.54027,1000000,0.0,Everyone,2017
BEAUTY,35000.0,100000,0.0,Everyone,2018
BEAUTY,6700.0,10000,0.0,Everyone,2018
BEAUTY,30000.0,50000,0.0,Teen,2018
BEAUTY,5700.0,100000,0.0,Everyone 10+,2017
BEAUTY,2900.0,10000,0.0,Everyone,2018
BEAUTY,17000.0,10000,0.0,Everyone,2018
BEAUTY,2900.0,10000,0.0,Everyone,2018
BEAUTY,22270.54027,10000000,0.0,Everyone,2017
BEAUTY,22270.54027,500000,0.0,Everyone,2018
BEAUTY,2600.0,1000000,0.0,Everyone,2017
BEAUTY,4200.0,50000,0.0,Everyone,2017
BEAUTY,7100.0,10000,0.0,Everyone,2018
BEAUTY,57000.0,1000000,0.0,Everyone,2018
BEAUTY,3700.0,50000,0.0,Everyone,2018
BEAUTY,22000.0,500000,0.0,Everyone,2018
BEAUTY,24000.0,500000,0.0,Everyone,2018
BEAUTY,7400.0,100000,0.0,Teen,2018
BEAUTY,21000.0,10000,0.0,Everyone,2018
BEAUTY,3400.0,5000,0.0,Everyone,2018
BEAUTY,2900.0,10000,0.0,Mature 17+,2017
BEAUTY,3100.0,10000,0.0,Everyone 10+,2017
BEAUTY,6400.0,100000,0.0,Everyone,2018
BEAUTY,3200.0,5000,0.0,Everyone,2018
BEAUTY,8200.0,100000,0.0,Mature 17+,2017
BEAUTY,9900.0,10000,0.0,Mature 17+,2018
BEAUTY,2900.0,10000,0.0,Everyone,2018
BEAUTY,23000.0,1000000,0.0,Everyone,2018
BEAUTY,4600.0,50000,0.0,Everyone,2017
BEAUTY,3100.0,10000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,22270.54027,100000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,4900.0,50000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,9500.0,100000,0.0,Everyone 10+,2017
BOOKS_AND_REFERENCE,22270.54027,10000000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,22270.54027,100000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,22270.54027,10000000,0.0,Everyone,2015
BOOKS_AND_REFERENCE,22270.54027,10000000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,22270.54027,10000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,4200.0,100000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,5400.0,1000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,22270.54027,10000000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,2800.0,500000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,5000.0,1000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,22270.54027,1000000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,5900.0,5000000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,13000.0,100000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,7100.0,10000000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,6700.0,500000,0.0,Everyone,2018
BOOKS_AND_REFERENCE,22270.54027,10000000,0.0,Teen,2018
BOOKS_AND_REFERENCE,17000.0,1000000,0.0,Everyone,2018
